trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,114N,0,1503268581,0,0,1503268581,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,113N,0,1503268701,0,0,1503268701,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,112N,0,1503268791,0,0,1503268791,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,111N,0,1503268911,0,0,1503268911,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,110N,0,1503269001,0,0,1503269001,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,109N,0,1503269061,0,0,1503269061,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,108N,0,1503269151,0,0,1503269151,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,107N,0,1503269241,0,0,1503269241,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,106N,0,1503269331,0,0,1503269331,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,104N,0,1503269421,0,0,1503269421,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,103N,0,1503269511,0,0,1503269631,0,0,4,,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0,101N,0,1503269721,0,0,0,0,0,4,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,117S,0,1503267711,0,0,1503267711,0,0,1,1,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,118S,0,1503267771,0,0,1503267771,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,119S,0,1503267831,0,0,1503267831,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,120S,0,1503267951,0,0,1503267951,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,121S,0,1503268071,0,0,1503268071,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,122S,0,1503268131,0,0,1503268131,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,123S,0,1503268221,0,0,1503268221,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,124S,0,1503268311,0,0,1503268311,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,125S,0,1503268401,0,0,1503268401,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,126S,0,1503268521,0,0,1503268521,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,127S,0,1503268611,0,0,1503268611,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,128S,0,1503268701,0,0,1503268701,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,129S,0,1503268791,0,0,1503268791,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,130S,0,1503268851,0,0,1503268851,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,131S,0,1503268911,0,0,1503268911,0,0,1,,0
